trees,depth,min_samples_split,min_samples_leaf,variables,samples,mae_gen_0,mae_gen_1,mae_gen_2,mae_gen_3,mae_gen_4,mae_gen_5,mae_gen_6,mae_gen_7,mae_gen_8,mae_gen_9,final_mae,time
30,10,6,2,0.4,0.4,288.188,96.465,48.688,80.176,61.247,33.204,39.176,38.607,38.173,44.219,76.8143,0.0259472680091858
30,30,6,2,0.4,0.4,282.047,97.201,48.745,79.275,59.962,33.276,39.717,39.843,37.589,44.826,76.2481,0.0261792588233948
30,50,6,2,0.4,0.4,285.772,96.076,47.998,78.284,61.048,33.416,38.511,38.889,37.595,45.271,76.286,0.0260296750068665
30,None,6,2,0.4,0.4,285.004,95.387,48.647,79.363,61.367,32.346,39.551,38.654,37.43,45.279,76.3028,0.0261410808563232
50,10,6,2,0.4,0.4,290.385,96.24,48.677,78.208,60.905,32.529,38.986,37.601,37.213,43.345,76.4089,0.0417056655883789
50,30,6,2,0.4,0.4,286.316,95.023,48.221,79.28,61.233,32.331,39.705,37.124,38.17,43.867,76.127,0.041739718914032
50,50,6,2,0.4,0.4,286.032,96.343,47.969,80.245,58.709,32.738,38.83,38.532,36.151,44.382,75.9931,0.0415197587013245
50,None,6,2,0.4,0.4,286.323,96.099,48.598,79.264,59.83,32.816,38.716,38.716,36.941,44.422,76.1725,0.0415854430198669
100,10,6,2,0.4,0.4,285.67,95.139,48.078,76.759,61.93,32.496,38.514,36.803,36.655,43.222,75.5266,0.0803828239440918
100,30,6,2,0.4,0.4,286.095,95.173,47.984,76.847,60.441,32.061,38.592,37.089,36.982,42.776,75.404,0.0804678630828857
100,50,6,2,0.4,0.4,285.318,95.565,47.965,79.745,60.639,32.243,38.884,36.989,37.111,42.918,75.7377,0.08026939868927
100,None,6,2,0.4,0.4,287.444,96.343,47.904,78.098,61.574,32.67,38.577,37.533,36.746,42.751,75.964,0.0807256436347961
10,10,8,2,0.4,0.4,289.298,99.251,52.036,78.555,61.142,36.75,43.744,43.351,42.339,49.977,79.6443,0.0103982257843018
10,30,8,2,0.4,0.4,288.416,100.534,52.647,80.616,66.055,36.514,43.427,43.088,42.052,50.208,80.3557,0.0106142258644104
10,50,8,2,0.4,0.4,290.535,103.994,51.836,83.277,69.906,37.76,43.834,42.7,44.86,50.3,81.9002,0.0102398562431335
10,None,8,2,0.4,0.4,289.806,100.058,52.341,78.378,62.864,37.678,44.796,43.381,43.03,49.186,80.1518,0.010390477180481
30,10,8,2,0.4,0.4,288.223,100.437,49.854,81.628,62.071,35.787,41.959,39.618,40.368,46.44,78.6385,0.0257568335533142
30,30,8,2,0.4,0.4,290.759,97.856,50.122,83.412,60.442,35.265,42,40.716,40.808,46.194,78.7574,0.0257565903663635
